timestamp,position_x,position_y,position_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1745691303994,-13.659601584491936,3.866460499453578,0.0,-0.79008657,0.7302315,9.258378,0.06963864,0.0842994,0.16187929,-47.276,-29.614002,-44.640003
1745691304004,-13.655996049917745,3.866425606182869,0.0,-0.89782566,0.7398083,9.224859,0.04153884,0.05681047,0.1704314,-46.965004,-29.184002,-47.081
1745691304015,-13.652029961886134,3.8663872235850882,0.0,-0.9672575,0.7661445,9.26556,0.023823744,0.040927973,0.17165314,-46.969,-29.397001,-45.592003
1745691304026,-13.648063873854525,3.8663488409873077,0.0,-0.9504981,0.7565677,9.287108,0.01282817,0.050701816,0.17715092,-46.052002,-28.858002,-45.685
1745691304037,-13.644097785822915,3.866310458389527,0.0,-0.92655605,0.7733272,9.406818,0.0061086523,0.064751714,0.17837265,-46.659,-28.969002,-47.184002
1745691304047,-13.640492251248723,3.866275565118818,0.0,-0.878672,0.81642276,9.452309,0.01160644,0.08857546,0.17104226,-47.27,-29.398,-47.828003
1745691304058,-13.636526163217113,3.8662371825210373,0.0,-0.90261406,0.80205756,9.380483,0.022602014,0.10323623,0.16187929,-46.761,-28.867,-45.913002
1745691304068,-13.632920628642923,3.866202289250328,0.0,-1.043872,0.79966336,9.299079,0.013439035,0.12339478,0.15332718,-46.151,-28.752,-46.644
1745691304079,-13.628954540611312,3.8661639066525475,0.0,-1.1755531,0.82599956,9.196129,-0.014049901,0.13927728,0.15149458,-46.657,-28.863,-47.822002
1745691304090,-13.624988452579702,3.866125524054767,0.0,-1.1300632,0.80684596,9.155427,-0.048258353,0.13683382,0.15149458,-47.572002,-29.296001,-48.261
1745691304100,-20.755226698538735,4.1698025547544155,0.0,-1.0726024,0.7445967,9.217676,-0.0983493,0.10873401,0.14294247,-45.647003,-28.956001,-46.63
1745691304111,-20.749950744404213,4.1697761757208305,0.0,-1.0366893,0.6991069,9.370906,-0.14782938,0.09162979,0.1301143,-46.459003,-28.970001,-45.055
1745691304122,-20.74467479026969,4.1697497966872445,0.0,-1.0271125,0.6607997,9.64145,-0.1966986,0.07391469,0.12156218,-47.163002,-28.347002,-44.867
1745691304132,-20.739878468329216,4.169725815747622,0.0,-1.0414777,0.61770403,9.900024,-0.23273966,0.04886922,0.10934488,-46.555,-28.756,-47.609
1745691304142,-20.735082146388745,4.169701834807999,0.0,-1.0342951,0.5674258,10.187328,-0.24129178,0.034208454,0.10995574,-46.561,-29.180002,-46.329002
1745691304152,-20.73028582444827,4.169677853868376,0.0,-1.0366893,0.5770026,10.515334,-0.19975294,0.016493361,0.12705997,-46.559002,-29.074001,-46.543003
1745691304162,-20.725489502507795,4.169653872928754,0.0,-1.0366893,0.60573304,10.740389,-0.14966199,0.01282817,0.14660765,-46.555,-28.547,-46.656002
1745691304173,-20.720213548373273,4.169627493895168,0.0,-0.9624691,0.7398083,10.630256,-0.043982297,0.029321533,0.16982053,-46.95,-27.497002,-47.317
1745691304183,-20.7154172264328,4.169603512955545,0.0,-0.9624691,0.78769237,10.4171715,0.037873644,0.0018325958,0.18509217,-46.845,-27.074001,-47.002003
1745691304194,-20.710141272298277,4.16957713392196,0.0,-1.0079589,0.8834604,9.97185,0.08246681,-0.02687807,0.19608775,-47.753002,-26.664001,-47.24
1745691304204,-20.7053449503578,4.169553152982337,0.0,-0.9840169,0.9768343,9.629479,0.09162979,-0.045814894,0.20525073,-47.459003,-27.819002,-47.642002
1745691304215,-20.70006899622328,4.169526773948752,0.0,-0.92655605,1.0295067,9.399636,0.07391469,-0.05681047,0.20891592,-46.453003,-28.649002,-47.608
1745691304226,-20.694793042088758,4.1695003949151666,0.0,-0.8858546,1.0773908,9.244013,0.03359759,-0.043982297,0.2003638,-46.557003,-28.863,-46.758003
1745691304237,-20.689517087954236,4.1694740158815815,0.0,-0.7781156,1.1252748,9.224859,-0.007330383,-0.010995574,0.19425514,-46.762,-28.973001,-45.593002
1745691304247,-20.68472076601376,4.169450034941958,0.0,-0.7589619,1.0869676,9.251195,-0.049480084,-0.0030543262,0.16493362,-46.344,-27.804,-47.618004
1745691304259,-20.678965179685193,4.1694212578144105,0.0,-0.9648633,0.9840169,9.483433,-0.08307768,0.0036651916,0.13683382,-46.243004,-27.699001,-46.661003
1745691304269,-20.674168857744718,4.169397276874788,0.0,-0.9600749,0.91937345,9.78989,-0.10873401,0.01282817,0.12889257,-47.465004,-28.453001,-46.890003
1745691304279,-20.669372535804243,4.169373295935165,0.0,-0.8738836,0.90500826,10.022128,-0.13255776,0.021991149,0.10262536,-47.259003,-27.924002,-46.468002
1745691304291,-20.663616949475674,4.169344518807617,0.0,-0.9792285,0.82360536,10.268731,-0.14721853,0.022602014,0.08002335,-47.258003,-27.819002,-46.364002
1745691304302,-20.658340995341153,4.169318139774032,0.0,-1.0055647,0.7757214,10.469844,-0.16310102,0.026267206,0.06414085,-47.053,-26.979002,-41.911003
1745691304312,-20.653544673400678,4.1692941588344095,0.0,-0.9888053,0.80205756,10.7116585,-0.17287487,0.042760566,0.039095376,-46.355003,-28.444002,-43.361004
1745691304324,-20.647789087072105,4.169265381706862,0.0,-0.8810662,0.80924016,10.84334,-0.1563815,0.051923547,0.015882496,-48.38,-28.782001,-46.481003
1745691304336,-20.642033500743537,4.169236604579314,0.0,-0.8858546,0.830788,10.836157,-0.10751228,0.032986723,-0.01038471,-47.256,-27.713001,-46.684002
1745691304346,-20.637237178803062,4.169212623639691,0.0,-0.866701,0.90979666,10.630256,-0.056199603,0.018325957,-0.029321533,-48.164,-27.302002,-47.134003
1745691304356,-20.632440856862587,4.169188642700068,0.0,-0.85473,0.9504981,10.412383,-0.02565634,0.014049901,-0.04153884,-48.370003,-27.935001,-48.617
1745691304367,-20.627164902728065,4.169162263666483,0.0,-0.8810662,1.0271125,10.175357,0.017104227,0.021991149,-0.055588737,-48.069004,-28.143002,-47.97
1745691304377,-20.62236858078759,4.16913828272686,0.0,-0.92176765,1.1085154,9.794679,0.03726278,0.01160644,-0.06719518,-47.361004,-28.344002,-48.27
1745691304388,-20.61709262665307,4.169111903693275,0.0,-1.0055647,1.1683705,9.543288,0.021991149,0.0036651916,-0.073303826,-47.569004,-28.875002,-47.736004
1745691304398,-20.612296304712594,4.169087922753652,0.0,-1.1468226,1.1875241,9.437943,-0.02076942,6.1086525E-4,-0.062308256,-46.958004,-28.133001,-45.184002
1745691304409,-20.607020350578072,4.169061543720066,0.0,-0.9576807,1.2545617,9.452309,-0.05375614,-0.009773844,-0.059253927,-46.446003,-27.806002,-47.195004
1745691304420,-20.60174439644355,4.169035164686481,0.0,-0.90021986,1.2425907,9.595961,-0.081855945,-0.01038471,-0.065973446,-46.138,-27.276001,-46.665
1745691304430,-20.596948074503075,4.169011183746859,0.0,-1.0295067,1.2258313,9.792285,-0.08857546,-0.009773844,-0.069027774,-47.164,-28.661001,-45.925003
1745691304440,-20.592151752562604,4.1689872028072354,0.0,-1.091756,1.2018893,9.969456,-0.07513642,-0.025045475,-0.06352998,-46.754,-28.233002,-46.984
1745691304450,-20.58735543062213,4.168963221867613,0.0,-1.0486604,1.1875241,9.938332,-0.049480084,-0.051923547,-0.06719518,-47.561,-27.822,-47.007004
1745691304460,-20.582559108681654,4.1689392409279895,0.0,-0.9576807,1.1540052,9.840169,-0.026267206,-0.065973446,-0.07391469,-48.478,-28.362001,-46.277
1745691304470,-20.57776278674118,4.168915259988367,0.0,-0.82360536,1.1228806,9.696517,-0.021991149,-0.084910266,-0.09101892,-47.052002,-27.812002,-48.801003
1745691304480,-20.572966464800704,4.1688912790487445,0.0,-0.7541735,1.1085154,9.610326,-0.03848451,-0.08735373,-0.11056661,-46.954002,-28.024002,-47.522003
1745691304490,-20.56817014286023,4.168867298109121,0.0,-0.770933,1.067814,9.622296,-0.06658431,-0.08368854,-0.13133603,-46.647003,-27.807001,-48.261
1745691304500,-20.563373820919754,4.1688433171694985,0.0,-0.82599956,1.0486604,9.816227,-0.09040806,-0.07819075,-0.1459968,-47.355003,-27.816002,-49.127003
1745691304510,-20.55857749897928,4.168819336229875,0.0,-0.7350199,1.0989386,9.964667,-0.081855945,-0.08674286,-0.15515977,-47.465004,-28.557001,-48.057003
1745691304520,-20.553781177038807,4.168795355290253,0.0,-0.7230489,1.115698,9.964667,-0.05009095,-0.09896017,-0.16737708,-47.271004,-29.399002,-46.979004
1745691304530,-20.548984855098333,4.168771374350629,0.0,-0.7302315,1.151611,9.847352,-0.017715093,-0.11789699,-0.17104226,-47.877003,-29.092001,-46.253002
